time_ms,soma_mv,path100_mv,path200_mv,path300_mv,path400_mv,contact_mv
16.795,-83.6029298416,-84.9087485454,-85.1038399887,-85.1027037745,-85.1048759649,-85.1155604201
16.8,-83.6052514173,-84.9090391378,-85.103860784,-85.1027196258,-85.1048964341,-85.1155850497
16.805,-83.6075710965,-84.9093295168,-85.1038815656,-85.1027354637,-85.1049168826,-85.1156096526
16.81,-83.6098888806,-84.9096196826,-85.1039023336,-85.1027512884,-85.1049373105,-85.1156342288
16.815,-83.6122047712,-84.9099096352,-85.103923088,-85.1027671,-85.1049577177,-85.1156587783
16.82,-83.6145187699,-84.9101993749,-85.1039438289,-85.1027828983,-85.1049781043,-85.1156833013
16.825,-83.6168308783,-84.9104889018,-85.1039645563,-85.1027986835,-85.1049984705,-85.1157077977
16.83,-83.6191410978,-84.9107782161,-85.10398527,-85.1028144555,-85.1050188161,-85.1157322677
16.835,-83.6214494301,-84.9110673178,-85.1040059703,-85.1028302144,-85.1050391412,-85.1157567112
16.84,-83.6237558768,-84.9113562073,-85.1040266571,-85.1028459602,-85.105059446,-85.1157811284
16.845,-83.6260604393,-84.9116448845,-85.1040473303,-85.102861693,-85.1050797303,-85.1158055192
16.85,-83.6283631192,-84.9119333497,-85.1040679901,-85.1028774126,-85.1050999943,-85.1158298838
16.855,-83.6306639181,-84.912221603,-85.1040886364,-85.1028931192,-85.105120238,-85.1158542221
16.86,-83.6329628375,-84.9125096447,-85.1041092693,-85.1029088128,-85.1051404614,-85.1158785343
16.865,-83.6352598791,-84.9127974747,-85.1041298887,-85.1029244934,-85.1051606646,-85.1159028203
16.87,-83.6375550443,-84.9130850933,-85.1041504947,-85.1029401611,-85.1051808476,-85.1159270803
16.875,-83.6398483347,-84.9133725007,-85.1041710873,-85.1029558157,-85.1052010104,-85.1159513143
16.88,-83.6421397518,-84.9136596969,-85.1041916665,-85.1029714574,-85.1052211531,-85.1159755223
16.885,-83.6444292972,-84.9139466822,-85.1042122323,-85.1029870862,-85.1052412757,-85.1159997043
16.89,-83.6467169725,-84.9142334567,-85.1042327847,-85.1030027021,-85.1052613783,-85.1160238605
16.895,-83.6490027791,-84.9145200206,-85.1042533237,-85.1030183051,-85.1052814608,-85.1160479909
16.9,-83.6512867187,-84.9148063739,-85.1042738495,-85.1030338953,-85.1053015234,-85.1160720955
16.905,-83.6535687927,-84.915092517,-85.1042943618,-85.1030494726,-85.1053215661,-85.1160961744
16.91,-83.6558490027,-84.9153784498,-85.1043148609,-85.1030650371,-85.1053415888,-85.1161202276
16.915,-83.6581273503,-84.9156641726,-85.1043353467,-85.1030805888,-85.1053615917,-85.1161442552
16.92,-83.660403837,-84.9159496855,-85.1043558191,-85.1030961277,-85.1053815748,-85.1161682573
16.925,-83.6626784643,-84.9162349887,-85.1043762783,-85.1031116539,-85.105401538,-85.1161922337
16.93,-83.6649512338,-84.9165200823,-85.1043967243,-85.1031271673,-85.1054214816,-85.1162161848
16.935,-83.667222147,-84.9168049665,-85.1044171569,-85.103142668,-85.1054414054,-85.1162401104
16.94,-83.6694912054,-84.9170896414,-85.1044375764,-85.103158156,-85.1054613095,-85.1162640106
16.945,-83.6717584106,-84.9173741072,-85.1044579826,-85.1031736313,-85.1054811939,-85.1162878855
16.95,-83.6740237641,-84.917658364,-85.1044783756,-85.103189094,-85.1055010588,-85.1163117351
16.955,-83.6762872674,-84.917942412,-85.1044987554,-85.103204544,-85.1055209041,-85.1163355595
16.96,-83.6785489221,-84.9182262514,-85.1045191221,-85.1032199814,-85.1055407298,-85.1163593587
16.965,-83.6808087296,-84.9185098822,-85.1045394755,-85.1032354062,-85.1055605361,-85.1163831327
16.97,-83.6830666916,-84.9187933047,-85.1045598158,-85.1032508184,-85.1055803229,-85.1164068817
16.975,-83.6853228095,-84.919076519,-85.104580143,-85.103266218,-85.1056000902,-85.1164306056
16.98,-83.6875770849,-84.9193595253,-85.104600457,-85.1032816051,-85.1056198382,-85.1164543046
16.985,-83.6898295193,-84.9196423236,-85.104620758,-85.1032969796,-85.1056395668,-85.1164779786
16.99,-83.6920801142,-84.9199249142,-85.1046410458,-85.1033123417,-85.1056592761,-85.1165016277
16.995,-83.6943288712,-84.9202072972,-85.1046613205,-85.1033276913,-85.1056789661,-85.1165252519
17,-83.6965757917,-84.9204894728,-85.1046815821,-85.1033430284,-85.1056986368,-85.1165488514
17.005,-83.6988208773,-84.9207714411,-85.1047018307,-85.103358353,-85.1057182883,-85.116572426
17.01,-83.7010641294,-84.9210532022,-85.1047220663,-85.1033736652,-85.1057379206,-85.116595976
17.015,-83.7033055497,-84.9213347564,-85.1047422888,-85.103388965,-85.1057575338,-85.1166195013
17.02,-83.7055451396,-84.9216161037,-85.1047624983,-85.1034042524,-85.1057771279,-85.116643002
17.025,-83.7077829007,-84.9218972444,-85.1047826947,-85.1034195275,-85.1057967029,-85.1166664782
17.03,-83.7100188344,-84.9221781785,-85.1048028782,-85.1034347902,-85.1058162588,-85.1166899298
17.035,-83.7122529423,-84.9224589062,-85.1048230487,-85.1034500405,-85.1058357958,-85.1167133569
17.04,-83.7144852259,-84.9227394277,-85.1048432062,-85.1034652785,-85.1058553137,-85.1167367596
17.045,-83.7167156867,-84.9230197431,-85.1048633508,-85.1034805043,-85.1058748128,-85.116760138
17.05,-83.7189443261,-84.9232998527,-85.1048834824,-85.1034957177,-85.1058942929,-85.1167834919
17.055,-83.7211711458,-84.9235797564,-85.104903601,-85.1035109189,-85.1059137541,-85.1168068216
17.06,-83.7233961472,-84.9238594545,-85.1049237068,-85.1035261079,-85.1059331965,-85.1168301271
17.065,-83.7256193318,-84.9241389472,-85.1049437997,-85.1035412846,-85.1059526201,-85.1168534083
17.07,-83.7278407012,-84.9244182345,-85.1049638796,-85.1035564491,-85.105972025,-85.1168766654
17.075,-83.7300602567,-84.9246973167,-85.1049839467,-85.1035716014,-85.1059914111,-85.1168998984
17.08,-83.732278,-84.9249761938,-85.105004001,-85.1035867416,-85.1060107785,-85.1169231073
17.085,-83.7344939326,-84.9252548661,-85.1050240423,-85.1036018696,-85.1060301272,-85.1169462922
17.09,-83.7367080558,-84.9255333336,-85.1050440709,-85.1036169855,-85.1060494573,-85.1169694532
17.095,-83.7389203713,-84.9258115967,-85.1050640866,-85.1036320893,-85.1060687688,-85.1169925902
17.1,-83.7411308805,-84.9260896552,-85.1050840894,-85.1036471809,-85.1060880617,-85.1170157033
17.105,-83.7433395849,-84.9263675096,-85.1051040795,-85.1036622605,-85.1061073361,-85.1170387926
17.11,-83.745546486,-84.9266451598,-85.1051240568,-85.1036773281,-85.106126592,-85.1170618581
17.115,-83.7477515854,-84.926922606,-85.1051440214,-85.1036923836,-85.1061458294,-85.1170848998
17.12,-83.7499548844,-84.9271998485,-85.1051639731,-85.103707427,-85.1061650484,-85.1171079178
17.125,-83.7521563847,-84.9274768873,-85.1051839121,-85.1037224585,-85.106184249,-85.1171309122
17.13,-83.7543560876,-84.9277537226,-85.1052038384,-85.103737478,-85.1062034312,-85.1171538829
17.135,-83.7565539947,-84.9280303545,-85.1052237519,-85.1037524855,-85.106222595,-85.1171768301
17.14,-83.7587501074,-84.9283067832,-85.1052436528,-85.1037674811,-85.1062417406,-85.1171997538
17.145,-83.7609444273,-84.9285830088,-85.1052635409,-85.1037824647,-85.1062608679,-85.117222654
17.15,-83.7631369559,-84.9288590316,-85.1052834164,-85.1037974364,-85.106279977,-85.1172455307
17.155,-83.7653276945,-84.9291348515,-85.1053032792,-85.1038123963,-85.1062990679,-85.117268384
17.16,-83.7675166448,-84.9294104689,-85.1053231293,-85.1038273442,-85.1063181405,-85.117291214
17.165,-83.7697038081,-84.9296858838,-85.1053429668,-85.1038422803,-85.1063371951,-85.1173140207
17.17,-83.771889186,-84.9299610964,-85.1053627916,-85.1038572045,-85.1063562315,-85.1173368041
17.175,-83.7740727799,-84.9302361069,-85.1053826038,-85.103872117,-85.1063752499,-85.1173595642
17.18,-83.7762545913,-84.9305109153,-85.1054024034,-85.1038870176,-85.1063942502,-85.1173823012
17.185,-83.7784346218,-84.9307855219,-85.1054221904,-85.1039019064,-85.1064132325,-85.1174050151
17.19,-83.7806128727,-84.9310599268,-85.1054419649,-85.1039167835,-85.1064321969,-85.1174277058
17.195,-83.7827893456,-84.9313341301,-85.1054617267,-85.1039316488,-85.1064511433,-85.1174503735
17.2,-83.7849640419,-84.931608132,-85.105481476,-85.1039465023,-85.1064700717,-85.1174730182
17.205,-83.7871369631,-84.9318819326,-85.1055012128,-85.1039613442,-85.1064889823,-85.11749564
17.21,-83.7893081106,-84.9321555321,-85.105520937,-85.1039761743,-85.106507875,-85.1175182388
17.215,-83.791477486,-84.9324289307,-85.1055406487,-85.1039909928,-85.10652675,-85.1175408147
17.22,-83.7936450907,-84.9327021284,-85.1055603479,-85.1040057995,-85.1065456071,-85.1175633678
17.225,-83.7958109262,-84.9329751255,-85.1055800346,-85.1040205947,-85.1065644465,-85.1175858981
17.23,-83.7979749939,-84.933247922,-85.1055997088,-85.1040353782,-85.1065832681,-85.1176084056
17.235,-83.8001372954,-84.9335205182,-85.1056193705,-85.1040501501,-85.1066020721,-85.1176308904
17.24,-83.802297832,-84.9337929142,-85.1056390198,-85.1040649104,-85.1066208583,-85.1176533526
17.245,-83.8044566052,-84.9340651101,-85.1056586566,-85.1040796591,-85.106639627,-85.1176757921
17.25,-83.8066136166,-84.9343371061,-85.105678281,-85.1040943962,-85.1066583781,-85.117698209
17.255,-83.8087688675,-84.9346089023,-85.105697893,-85.1041091218,-85.1066771115,-85.1177206034
17.26,-83.8109223594,-84.9348804988,-85.1057174926,-85.1041238359,-85.1066958275,-85.1177429753
17.265,-83.8130740938,-84.9351518959,-85.1057370798,-85.1041385385,-85.1067145259,-85.1177653247
17.27,-83.8152240722,-84.9354230937,-85.1057566546,-85.1041532295,-85.1067332069,-85.1177876516
17.275,-83.8173722959,-84.9356940923,-85.105776217,-85.1041679091,-85.1067518704,-85.1178099562
17.28,-83.8195187665,-84.9359648919,-85.105795767,-85.1041825773,-85.1067705165,-85.1178322385
17.285,-83.8216634854,-84.9362354926,-85.1058153048,-85.104197234,-85.1067891452,-85.1178544985
17.29,-83.823806454,-84.9365058945,-85.1058348301,-85.1042118792,-85.1068077565,-85.1178767362
17.295,-83.8259476739,-84.9367760979,-85.1058543432,-85.1042265131,-85.1068263506,-85.1178989516
17.3,-83.8280871464,-84.9370461028,-85.105873844,-85.1042411355,-85.1068449273,-85.1179211449
17.305,-83.830224873,-84.9373159094,-85.1058933324,-85.1042557466,-85.1068634868,-85.1179433161
17.31,-83.8323608552,-84.9375855179,-85.1059128086,-85.1042703463,-85.106882029,-85.1179654652
17.315,-83.8344950944,-84.9378549284,-85.1059322725,-85.1042849347,-85.1069005541,-85.1179875922
17.32,-83.836627592,-84.938124141,-85.1059517241,-85.1042995117,-85.1069190619,-85.1180096971
17.325,-83.8387583496,-84.938393156,-85.1059711635,-85.1043140775,-85.1069375527,-85.1180317801
17.33,-83.8408873685,-84.9386619734,-85.1059905907,-85.1043286319,-85.1069560263,-85.1180538412
17.335,-83.8430146501,-84.9389305933,-85.1060100056,-85.1043431751,-85.1069744828,-85.1180758804
17.34,-83.845140196,-84.9391990161,-85.1060294083,-85.104357707,-85.1069929222,-85.1180978977
17.345,-83.8472640076,-84.9394672417,-85.1060487988,-85.1043722276,-85.1070113447,-85.1181198932
17.35,-83.8493860862,-84.9397352703,-85.1060681771,-85.1043867371,-85.1070297501,-85.1181418669
17.355,-83.8515064334,-84.9400031022,-85.1060875433,-85.1044012353,-85.1070481386,-85.1181638189
17.36,-83.8536250506,-84.9402707373,-85.1061068973,-85.1044157223,-85.1070665102,-85.1181857492
17.365,-83.8557419392,-84.940538176,-85.1061262391,-85.1044301982,-85.1070848648,-85.1182076578
17.37,-83.8578571007,-84.9408054182,-85.1061455688,-85.1044446628,-85.1071032026,-85.1182295448
17.375,-83.8599705364,-84.9410724643,-85.1061648864,-85.1044591164,-85.1071215235,-85.1182514102
17.38,-83.8620822479,-84.9413393142,-85.1061841919,-85.1044735588,-85.1071398276,-85.118273254
17.385,-83.8641922365,-84.9416059682,-85.1062034852,-85.1044879901,-85.1071581149,-85.1182950764
17.39,-83.8663005037,-84.9418724265,-85.1062227665,-85.1045024103,-85.1071763854,-85.1183168773
17.395,-83.8684070508,-84.942138689,-85.1062420357,-85.1045168194,-85.1071946393,-85.1183386568
17.4,-83.8705118795,-84.9424047561,-85.1062612928,-85.1045312175,-85.1072128764,-85.1183604148
17.405,-83.8726149909,-84.9426706279,-85.1062805379,-85.1045456045,-85.1072310968,-85.1183821516
17.41,-83.8747163867,-84.9429363044,-85.1062997709,-85.1045599805,-85.1072493006,-85.118403867
17.415,-83.8768160682,-84.9432017859,-85.1063189919,-85.1045743454,-85.1072674878,-85.1184255611
17.42,-83.8789140368,-84.9434670724,-85.1063382009,-85.1045886994,-85.1072856584,-85.118447234
17.425,-83.881010294,-84.9437321642,-85.1063573978,-85.1046030423,-85.1073038124,-85.1184688857
17.43,-83.8831048412,-84.9439970614,-85.1063765828,-85.1046173744,-85.1073219499,-85.1184905163
17.435,-83.8851976797,-84.9442617641,-85.1063957558,-85.1046316954,-85.1073400709,-85.1185121257
17.44,-83.8872888111,-84.9445262725,-85.1064149168,-85.1046460055,-85.1073581755,-85.118533714
17.445,-83.8893782368,-84.9447905867,-85.1064340659,-85.1046603047,-85.1073762635,-85.1185552813
17.45,-83.8914659581,-84.9450547069,-85.106453203,-85.104674593,-85.1073943352,-85.1185768276
17.455,-83.8935519764,-84.9453186331,-85.1064723282,-85.1046888704,-85.1074123905,-85.1185983529
17.46,-83.8956362933,-84.9455823656,-85.1064914415,-85.1047031369,-85.1074304294,-85.1186198573
17.465,-83.89771891,-84.9458459046,-85.1065105428,-85.1047173926,-85.107448452,-85.1186413408
